ticker,start_date,end_date
CASH,1993-09-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
CASI,1996-06-12 00:00:00-04:00,2024-12-10 00:00:00-05:00
CASS,1996-07-02 00:00:00-04:00,2024-12-10 00:00:00-05:00
CASY,1983-10-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
CATY,1990-12-14 00:00:00-05:00,2024-12-10 00:00:00-05:00
CBRL,1981-11-05 00:00:00-05:00,2024-12-10 00:00:00-05:00
CBSH,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
CCBG,1994-06-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
CCEP,1986-11-24 00:00:00-05:00,2024-12-10 00:00:00-05:00
CCNE,1994-04-04 00:00:00-04:00,2024-12-10 00:00:00-05:00
CDMO,1994-04-04 00:00:00-04:00,2024-12-10 00:00:00-05:00
CDNS,1987-06-10 00:00:00-04:00,2024-12-10 00:00:00-05:00
CDZI,1989-01-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
CECO,1980-12-02 00:00:00-05:00,2024-12-10 00:00:00-05:00
CENT,1992-07-15 00:00:00-04:00,2024-12-10 00:00:00-05:00
CENX,1996-03-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
CERS,1997-01-31 00:00:00-05:00,2024-12-10 00:00:00-05:00
CFBK,1998-12-30 00:00:00-05:00,2024-12-10 00:00:00-05:00
CFFI,1998-05-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
CFFN,1999-04-01 00:00:00-05:00,2024-12-10 00:00:00-05:00
CGNX,1989-07-20 00:00:00-04:00,2024-12-10 00:00:00-05:00
CHCO,1987-06-26 00:00:00-04:00,2024-12-10 00:00:00-05:00
CHDN,1993-03-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
CHKP,1996-06-28 00:00:00-04:00,2024-12-10 00:00:00-05:00
CHMG,1999-01-04 00:00:00-05:00,2024-12-10 00:00:00-05:00
CHNR,1995-08-07 00:00:00-04:00,2024-12-10 00:00:00-05:00
CHRW,1997-10-16 00:00:00-04:00,2024-12-10 00:00:00-05:00
CIGI,1995-01-20 00:00:00-05:00,2024-12-10 00:00:00-05:00
CINF,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
CIVB,1994-04-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
CLAR,1998-05-27 00:00:00-04:00,2024-12-10 00:00:00-05:00
CLDX,1986-05-15 00:00:00-04:00,2024-12-10 00:00:00-05:00
CLFD,1986-08-06 00:00:00-04:00,2024-12-10 00:00:00-05:00
CLMB,1995-07-18 00:00:00-04:00,2024-12-10 00:00:00-05:00
CLRO,1989-03-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
CLWT,1997-03-14 00:00:00-05:00,2024-12-10 00:00:00-05:00
CMCO,1996-02-23 00:00:00-05:00,2024-12-10 00:00:00-05:00
CMCSA,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
CMCT,1993-12-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
CMTL,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
CNOB,1994-04-04 00:00:00-04:00,2024-12-10 00:00:00-05:00
CNTY,1993-11-10 00:00:00-05:00,2024-12-10 00:00:00-05:00
CNXN,1998-03-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
COHU,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
COKE,1973-02-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
COLB,1992-06-16 00:00:00-04:00,2024-12-10 00:00:00-05:00
COLM,1998-03-27 00:00:00-05:00,2024-12-10 00:00:00-05:00
COO,1983-01-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
COST,1986-07-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
CPB,1973-02-21 00:00:00-05:00,2024-12-10 00:00:00-05:00
CPRT,1994-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
CPSH,1994-04-05 00:00:00-04:00,2024-12-10 00:00:00-05:00
CPSS,1992-10-22 00:00:00-04:00,2024-12-10 00:00:00-05:00
CRAI,1998-04-24 00:00:00-04:00,2024-12-10 00:00:00-05:00
CRESY,1997-03-19 00:00:00-05:00,2024-12-10 00:00:00-05:00
CRMT,1987-03-13 00:00:00-05:00,2024-12-10 00:00:00-05:00
CRUS,1989-06-09 00:00:00-04:00,2024-12-10 00:00:00-05:00
CRVL,1991-06-28 00:00:00-04:00,2024-12-10 00:00:00-05:00
CSCO,1990-02-16 00:00:00-05:00,2024-12-10 00:00:00-05:00
CSGP,1998-07-01 00:00:00-04:00,2024-12-10 00:00:00-05:00
CSGS,1996-02-28 00:00:00-05:00,2024-12-10 00:00:00-05:00
CSPI,1982-01-29 00:00:00-05:00,2024-12-10 00:00:00-05:00
CSWC,1980-03-17 00:00:00-05:00,2024-12-10 00:00:00-05:00
CSX,1980-11-03 00:00:00-05:00,2024-12-10 00:00:00-05:00
